日期,歌舞,歌舞包id,日点击量,pv包占比,日用户量,uv包占比,日观看时长,duration包占比,总分1,总分2,总分3
20170301,1,11111,1,0 ,1,0 ,17,0 ,0 ,0 ,
20170301,1,31,62,0 ,45,0 ,3700,0 ,0 ,0 ,
20170301,1,55,71,0 ,54,0 ,2335,0 ,0 ,0 ,
20170301,1,40,78,0 ,57,0 ,5701,0 ,0 ,0 ,
20170301,1,33,87,0 ,59,0 ,6667,0 ,0 ,0 ,
20170301,1,53,39505,6 ,28024,7 ,2192121,7 ,7 ,21 ,
20170301,1,15,42468,7 ,30234,8 ,2485664,8 ,8 ,23 ,
20170301,1,9,45503,7 ,31824,8 ,1776056,6 ,7 ,22 ,
20170301,1,8,47880,8 ,33596,9 ,1809568,6 ,8 ,23 ,
20170301,1,18,50303,8 ,35612,9 ,2196374,7 ,8 ,25 ,
20170301,1,54,50943,8 ,35736,9 ,2395309,8 ,9 ,26 ,
20170301,1,60,51259,8 ,35670,9 ,1814679,6 ,8 ,24 ,
20170301,1,58,51461,8 ,35357,9 ,2412299,8 ,9 ,26 ,
20170301,1,19,51597,8 ,36848,10 ,1836466,6 ,8 ,24 ,
20170301,1,51,51672,8 ,36168,10 ,2370985,8 ,9 ,26 ,
20170301,1,14,53053,9 ,36310,10 ,2348687,8 ,9 ,26 ,
20170301,1,61,53309,9 ,36650,10 ,2917596,10 ,9 ,28 ,
20170301,1,5,54568,9 ,37726,10 ,2634776,9 ,9 ,28 ,
20170301,1,57,56449,9 ,38831,10 ,2788514,9 ,10 ,29 ,
20170301,1,50,58639,10 ,40761,11 ,3005150,10 ,10 ,30 ,
20170301,1,20,60120,10 ,41541,11 ,2281476,8 ,9 ,28 ,
20170301,1,11,61802,10 ,41529,11 ,3179860,11 ,11 ,32 ,
20170301,1,23,62720,10 ,43300,11 ,2795151,9 ,10 ,31 ,
20170301,1,48,63357,10 ,43237,11 ,2949871,10 ,11 ,32 ,
20170301,1,10,65116,11 ,41498,11 ,2666665,9 ,10 ,31 ,
20170301,1,21,67434,11 ,46047,12 ,2212269,7 ,10 ,31 ,
20170301,1,56,69045,11 ,46076,12 ,4330878,14 ,13 ,38 ,
20170301,1,63,70744,12 ,46498,12 ,2844467,9 ,11 ,33 ,
20170301,1,26,71132,12 ,49317,13 ,3258963,11 ,12 ,36 ,
20170301,1,17,71466,12 ,45335,12 ,2314351,8 ,10 ,31 ,
20170301,1,22,72417,12 ,49000,13 ,2816671,9 ,11 ,34 ,
20170301,1,4,73995,12 ,48788,13 ,4045500,13 ,13 ,38 ,
20170301,1,7,74157,12 ,49190,13 ,3843798,13 ,13 ,38 ,
20170301,1,25,74367,12 ,51067,13 ,2987243,10 ,12 ,36 ,
20170301,1,24,75041,12 ,51912,14 ,3710545,12 ,13 ,38 ,
20170301,1,3,75182,12 ,49326,13 ,3502622,12 ,12 ,37 ,
20170301,1,13,77174,13 ,49670,13 ,3214015,11 ,12 ,36 ,
20170301,1,16,78586,13 ,50299,13 ,3412638,11 ,13 ,38 ,
20170301,1,32,78672,13 ,54986,15 ,4447297,15 ,14 ,42 ,
20170301,1,1,80024,13 ,49165,13 ,3671601,12 ,13 ,38 ,
20170301,1,49,82364,14 ,53887,14 ,3044212,10 ,13 ,38 ,
20170301,1,52,85446,14 ,56576,15 ,4056844,14 ,14 ,42 ,
20170301,1,62,89814,15 ,55970,15 ,5414283,18 ,16 ,48 ,
20170301,1,6,93771,15 ,59739,16 ,4778742,16 ,16 ,47 ,
20170301,1,35,103627,17 ,69584,18 ,5303207,18 ,18 ,53 ,
20170301,1,29,108240,18 ,68033,18 ,7644330,25 ,20 ,61 ,
20170301,1,28,111481,18 ,71813,19 ,6043492,20 ,19 ,57 ,
20170301,1,37,112764,18 ,75078,20 ,5433323,18 ,19 ,56 ,
20170301,1,34,113028,19 ,72760,19 ,4693523,16 ,18 ,53 ,
20170301,1,27,122266,20 ,79023,21 ,6013711,20 ,20 ,61 ,
20170301,1,2,124814,20 ,74059,20 ,6933672,23 ,21 ,63 ,
20170301,1,30,132291,22 ,85521,23 ,4526371,15 ,20 ,59 ,
20170301,1,43,147495,24 ,94920,25 ,5985037,20 ,23 ,69 ,
20170301,1,36,149093,24 ,93713,25 ,6407495,21 ,24 ,71 ,
20170301,1,39,162916,27 ,102756,27 ,6884740,23 ,26 ,77 ,
20170301,1,42,185472,30 ,113822,30 ,10050819,33 ,31 ,94 ,
20170301,1,38,186123,31 ,113897,30 ,11659842,39 ,33 ,99 ,
20170301,1,44,193268,32 ,118341,31 ,7445963,25 ,29 ,88 ,
20170301,1,47,248371,41 ,139444,37 ,9529448,32 ,36 ,109 ,
20170301,1,45,256076,42 ,152677,40 ,12976538,43 ,42 ,125 ,
20170301,1,41,268866,44 ,147836,39 ,24800458,83 ,55 ,166 ,
20170301,1,46,298306,49 ,165376,44 ,14897166,50 ,47 ,142 ,
20170301,1,12,541377,89 ,245618,65 ,26431989,88 ,81 ,242 ,
,,,,,,,,,,,
,,SUM,6098728,1000 ,3787787,1000 ,300443750,1000 ,1000 ,,
,,,,16 ,,,,,,,
